,loss,val_loss
0,4.644318286674075,4.546636182208394
1,4.582474219712449,4.517215906187546
2,4.552196207346697,4.500240702961767
3,4.530219021028237,4.485255145287329
4,4.509107333869103,4.470273609309233
5,4.493100377491542,4.4577512593232385
6,4.469109489496337,4.444131359573483
7,4.456329639425578,4.432391791380653
8,4.43643548448207,4.4200026453003405
9,4.418830852185265,4.409216847530631
10,4.402506239246803,4.39939687048742
11,4.385821394192971,4.389185594957929
12,4.37425215631074,4.380338243735853
13,4.36184942970553,4.371057118556296
14,4.343630429792058,4.363228723984356
15,4.331810451535278,4.355954517689786
16,4.316202868676359,4.348383600397628
17,4.303348964524904,4.340462610703106
18,4.289246531433401,4.333915311236714
19,4.277071381077062,4.327117805333101
20,4.26482511825192,4.319877628208131
21,4.249637455513056,4.312844346660052
22,4.241139491591557,4.306719691254372
23,4.224599774062778,4.301192688387494
24,4.21427282467304,4.295934181804805
25,4.197825002323917,4.288237397984941
26,4.190052873689961,4.282609281613845
27,4.174970825186076,4.2771020268285
28,4.16232915397995,4.270861740260161
29,4.151101803606417,4.266373893087224
30,4.137258504955301,4.26038754078769
31,4.124958033480887,4.254952001941296
32,4.115746442226752,4.24983314395875
33,4.104207085523998,4.244042777275855
34,4.090301015244269,4.239654986433281
35,4.078547754818822,4.234527107357055
36,4.069688446007976,4.228536236193753
37,4.05724708658731,4.223928030147109
38,4.045016316697904,4.2189638854921325
39,4.034525273440825,4.215054689451706
40,4.01991979100225,4.211083123850268
41,4.010934288680698,4.20691453209219
42,3.9974429180200683,4.202030570008034
43,3.9880211760865,4.199014891025632
44,3.9748296808099632,4.194221914276596
45,3.96653440743324,4.191460306330245
46,3.954774057489908,4.185848446779473
47,3.9425768113309476,4.182844646217287
48,3.934783797344919,4.178861069124799
49,3.9194138508443395,4.175661689551302
50,3.915022194933949,4.1721808485282486
51,3.89761887150873,4.168411744657413
52,3.889971611401648,4.1658884092818855
53,3.8787215811288385,4.163715029871741
54,3.869634753913048,4.15950290916502
55,3.861638614917783,4.155995845794678
56,3.849241859168175,4.1537182867064955
57,3.8384177681320226,4.150549263917198
58,3.829492634433811,4.147438394930935
59,3.815853964618563,4.1461535313332725
60,3.806858545238689,4.142218807871028
61,3.7969533312984587,4.139615422995516
62,3.78757396564068,4.13662509031074
63,3.779625806161913,4.135390259498774
64,3.7696524294467584,4.131506417148797
65,3.762214894098462,4.12924237029497
66,3.753225843554259,4.126234867776087
67,3.7445058274211376,4.123727990675342
68,3.735955946324235,4.120789812516796
69,3.7256471162846823,4.119502459385599
70,3.713324345918891,4.118549206460169
71,3.7041919927620137,4.115195876868197
72,3.698737835133624,4.113172797269599
73,3.686124375715094,4.110604471014452
74,3.6806058973723403,4.1098804584769315
75,3.672589287169043,4.108170087947402
