,0
0,0.00488072
1,0.032268062
2,0.27159297
3,0.11710678
4,0.45912182
5,0.24075231
6,0.002627084
7,0.04949056
8,0.04154912
9,0.057191692
10,2.8970314e-08
11,0.2830581
12,0.40166342
13,0.30114746
14,0.0042924834
15,0.14572205
16,0.53147686
17,0.17539923
18,0.081147455
19,0.022182882
20,0.2748262
21,0.16524898
22,0.37935743
23,0.028293952
24,0.078204386
25,0.20025492
26,0.24005577
27,0.0068517784
28,0.17872387
29,0.15113175
30,0.024932757
31,0.046934776
32,0.11212579
33,0.007992239
34,0.01587339
35,0.0014976899
36,0.43601918
37,0.020328185
38,0.14047217
39,0.11059796
40,3.3421757e-06
41,0.13736452
42,0.061067935
43,0.19665784
44,0.06800404
45,0.010232769
46,0.082076296
47,0.0015590603
48,0.19697662
49,0.062045623
50,0.078558385
51,0.00673659
52,0.20905887
53,0.064576335
54,0.18218958
55,0.4193047
56,0.043274526
57,0.0117966365
58,0.2372752
59,0.32272214
60,0.052051365
61,0.04182742
62,0.06419834
63,0.059148993
64,0.56554544
65,0.40210563
66,0.19069271
67,0.28026968
68,0.015835742
69,1.0511791e-05
70,0.001544783
71,0.14659452
72,0.15064828
73,0.0024063287
74,0.011609095
75,0.005184977
76,0.032262497
77,0.11543593
78,0.0155207785
79,4.8476515e-05
80,0.011560245
81,0.024280068
82,0.0031366667
83,0.0067870617
84,0.108418815
85,0.014657134
86,0.008205292
87,0.20704943
88,0.0006017178
89,0.017037077
90,0.39502496
91,0.049547113
92,0.18611765
93,0.5082417
94,0.011776144
95,0.20290753
96,4.4771855e-07
97,0.003007212
98,0.2399072
99,0.17970385
100,0.35766482
101,0.14148514
102,0.34148163
103,0.0014425459
104,0.008714428
105,3.9432473e-07
106,0.0040436815
107,0.2372113
108,0.12106506
109,0.27449784
110,0.33212864
111,0.14302222
112,0.016213164
113,0.11549832
114,0.17068703
115,0.53095794
116,0.058031727
117,0.08512773
118,0.00037078853
119,0.0001278877
120,0.21804544
121,0.26118407
122,0.0012187102
123,0.3138111
124,0.31363308
125,0.0011629789
126,0.01176443
127,0.12968718
128,0.53279054
129,0.02754692
130,0.012429307
131,0.0074624973
132,0.004627868
133,0.0065155555
134,0.23221295
135,0.015658675
136,0.020540362
137,0.00071757607
138,0.36420968
139,0.38266373
140,0.24583079
141,0.44420305
142,0.14586887
143,0.05804836
144,0.083204314
145,0.38071465
146,0.06166049
147,0.0004712011
148,0.00022494918
149,5.815089e-07
150,0.8446233
151,0.010190634
152,0.054430813
153,0.5435417
154,0.20253877
155,0.3443803
156,0.14415106
157,0.021683553
158,0.24349503
159,0.0030912478
160,0.07224405
161,0.28300458
162,0.3629631
163,0.44728416
164,0.12094657
165,0.024488783
166,0.0066241818
167,0.2545346
168,0.0031078472
169,0.08851068
170,0.55314076
171,0.0021133118
172,0.119099885
173,0.1355968
174,0.06319132
175,0.000646518
176,0.10211098
177,0.38166967
178,0.015278728
179,0.34228554
180,0.47289324
181,0.11334317
182,0.123239614
183,0.41114736
184,0.008812568
185,0.0015183351
186,0.12870848
