,0
0,5.043952
1,42.453796
2,18.305435
3,71.76719
4,37.63297
5,6.4947114
6,8.939865
7,4.8553547e-06
8,44.245956
9,0.12536165
10,62.785633
11,47.073578
12,0.6709758
13,22.778404
14,83.0773
15,32.3241
16,12.684487
17,3.4674964
18,25.830736
19,85.99357
20,18.880585
21,4.4227424
22,12.224444
23,31.302656
24,37.52409
25,1.0710295
26,0.2874516
27,27.937052
28,23.624016
29,3.8973405
30,7.336565
31,17.526836
32,1.2492995
33,0.2341103
34,68.15592
35,3.177581
36,26.86394
37,21.957775
38,87.25139
39,17.288015
40,0.0005227559
41,9.545776
42,30.740381
43,100.504684
44,1.5995259
45,12.829679
46,0.24370334
47,9.698603
48,32.678837
49,43.761696
50,38.80726
51,10.094189
52,28.478792
53,65.54321
54,6.7644167
55,41.563198
56,37.089447
57,1.1388174
58,50.446003
59,8.13636
60,16.328909
61,6.5382137
62,7.9869766
63,9.245819
64,88.402695
65,62.85476
66,29.80795
67,1.8668702
68,0.0016434673
69,2.6994343
70,23.548443
71,0.3761433
72,1.814665
73,0.810485
74,2.3093345
75,5.0430818
76,18.044258
77,0.005955095
78,0.03268681
79,0.0075778873
80,3.1561084
81,1.8070291
82,3.7953157
83,0.4903054
84,77.001724
85,1.0609134
86,16.947384
87,2.2911162
88,1.2826028
89,1.3418348
90,32.364735
91,0.09405727
92,0.11533745
93,19.776516
94,61.74795
95,7.7449102
96,29.092804
97,79.44531
98,31.717297
99,102.228584
100,7.031159e-05
101,78.6809
102,0.4700698
103,37.500866
104,28.090237
105,55.908035
106,22.116116
107,53.378376
108,0.22549053
109,1.3621879
110,0.63208455
111,37.07946
112,42.76295
113,18.92417
114,0.0002588445
115,42.907867
116,68.509254
117,22.356384
118,18.05401
119,26.680782
120,82.996185
121,9.071175
122,13.306662
123,0.01999097
124,34.083565
125,76.96434
126,40.826736
127,41.612144
128,0.19050184
129,49.053085
130,0.18179026
131,1.8389461
132,20.271927
133,83.282646
134,4.305971
135,1.9428756
136,0.72340107
137,1.0184731
138,36.298145
139,1.7382945
140,2.4476712
141,3.2107472
142,98.44143
143,34.319447
144,0.112167545
145,56.931087
146,23.462902
147,34.4573
148,69.43517
149,9.073774
150,0.8939932
151,13.006003
152,59.511047
153,9.638401
154,9.95882
155,0.07365568
156,0.035163045
157,6.372545
158,132.02649
159,1.5929395
160,43.955265
161,47.412167
162,6.485656
163,82.438705
164,64.68429
165,84.96321
166,31.659657
167,53.83148
168,22.532835
169,3.3894444
170,38.061695
171,0.015800934
172,24.14102
173,11.29276
174,44.23759
175,56.736237
176,24.080126
177,59.32179
178,3.827941
179,21.358547
180,1.035453
181,2.9079568
182,20.678532
183,0.61990654
184,35.321316
185,0.4858005
186,86.46367
187,0.33034065
188,18.616985
189,9.877691
190,0.101060174
191,76.1248
192,15.961382
193,2.3882802
194,53.50404
195,17.71713
196,19.264084
197,64.268105
198,77.42814
199,1.3775285
200,0.23733743
201,20.118944
202,6.6340213
203,68.226616
204,89.291176
205,0.26286834
206,16.948627
207,15.385721
208,4.711586
209,2.946347
210,155.33473
211,1.7387363
212,19.725323
213,87.32592
214,138.96838
215,24.032515
216,0.37065363
217,21.141146
218,7.5509276
219,86.74092
220,0.3126474
221,39.98544
222,16.824444
223,3.3722603
224,2.4010847
225,74.92483
226,0.40836102
227,9.926278e-05
228,70.21998
229,68.582085
230,3.7634885
231,3.518815e-05
232,48.526806
233,54.495327
234,14.171331
235,34.16968
236,60.266613
237,10.036646
238,32.10688
239,17.562151
240,0.011449297
241,11.949237
242,28.070627
243,31.897982
244,31.678438
245,3.2573676
246,16.04353
247,7.3408256
248,0.43023247
249,2.1395311
250,1.0948305e-05
251,36.42161
252,32.12535
253,54.586304
254,0.0015804258
255,1.8485374
256,0.0005200104
257,34.445435
258,0.0002896377
259,0.0017006068
260,0.10949287
261,31.81388
262,0.00012079649
263,56.93125
264,81.66918
265,24.657747
266,59.504982
267,25.411217
268,22.708279
269,24.054188
270,80.19148
271,0.3605147
272,0.14375436
273,0.1761472
274,14.230607
275,0.002010582
276,0.0050343787
277,0.0032180322
278,0.00079338613
279,4.404623
280,40.760494
281,0.00029830344
282,0.011202599
283,0.03712731
284,77.8118
285,0.96592253
286,0.00077600713
287,35.202232
288,86.989334
289,0.0051195016
290,3.369982e-06
291,23.724367
292,0.3585152
293,6.6906996
294,1.5599444
295,39.97242
296,75.60903
297,0.000117819494
298,31.81148
299,24.841145
300,37.76837
301,14.1964445
302,0.22644964
303,13.728105
304,3.2320914
305,40.02461
306,33.618996
307,13.214054
308,17.279146
309,5.3408957
310,4.0854073
311,99.83912
312,5.847756
313,15.399321
314,4.070885
315,38.33637
316,1.3833656
317,0.50671333
318,0.7821579
319,5.602279e-05
320,26.945742
321,0.010563392
322,0.0029437784
323,0.36567318
324,1.5820034
325,1.0175974
326,19.196701
327,26.425507
328,0.22191113
329,0.08288918
330,33.816246
331,18.460175
332,0.7748103
333,6.5030913
334,1.3184533
335,49.463963
336,4.7076225
337,8.392202
338,5.0419235
339,20.168201
340,34.839436
341,39.522514
342,0.8124916
343,1.6928062
344,0.12574956
345,7.7980814
346,3.4916058
347,16.667866
348,6.4202976
349,37.30483
350,0.6873714
351,20.887434
352,17.75464
353,1.750384
354,47.901516
355,101.09389
356,0.00035047712
357,0.59234834
358,3.0326536
359,0.16817245
360,2.923554
361,47.901016
362,1.7470999
363,1.7852753
364,17.103642
365,145.99985
366,0.0064843833
367,10.387417
368,0.42017645
369,56.21205
370,44.580833
371,3.9683669
372,0.45612013
373,36.068157
374,0.26532876
375,0.42993328
376,0.06838542
377,42.045372
378,1.2169195
379,15.372754
380,0.034980144
381,54.24691
382,31.05236
383,0.00019160766
