,metric,value,fold,target
0,MSE,2.758165121078491,1,AR
1,MAE,1.317118525505066,1,AR
2,MdAE,1.094459056854248,1,AR
3,ACPER,0.0004868549172346641,1,AR
4,MAPE,-5.654517650604248,1,AR
5,RMSE,1.660772442817688,1,AR
6,MSE,2.86191725730896,2,AR
7,MAE,1.3664531707763672,2,AR
8,MdAE,1.1948083639144897,2,AR
9,ACPER,0.0009737098344693282,2,AR
10,MAPE,-1.324853777885437,2,AR
11,RMSE,1.6917202472686768,2,AR
