Unnamed: 0,0,denormalized
0,0.40110314,0.7166614993551175
1,0.609657,1.4635436519306833
2,0.66270596,1.6535248943622314
3,0.66258854,1.6531043847521225
4,0.6637479,1.6572563351998868
5,0.6884456,1.7457048124405654
6,0.6318161,1.542900784458162
7,0.45362207,0.9047445753018559
8,0.60609764,1.4507967171168596
9,0.60427225,1.4442595510702088
10,0.6596364,1.6425320526077813
11,0.58992165,1.3928665583020532
12,0.6483353,1.6020600618497491
13,0.6830336,1.7263231226951001
14,0.59607,1.4148852966883299
15,0.422189,0.7921750981238338
16,0.6463893,1.59509096202627
17,0.7011834,1.7913219757147285
18,0.6112665,1.4693076633211728
19,0.67687476,1.7042668170646582
20,0.70859766,1.8178742460421873
21,0.629622,1.5350431781258411
22,-0.06634762,-0.9573934898543097
23,0.5189393,1.1386614797536527
24,0.7082536,1.8166420834084418
25,0.615139,1.483176028720158
26,0.61829144,1.4944656839347168
27,0.7098483,1.82235309239534
28,0.38741755,0.6676500693174923
29,0.6311127,1.5403817377902103
30,0.62230223,1.5088292994953605
31,0.66976476,1.6788041758802068
32,0.702849,1.797286894864774
33,0.69427663,1.7665871506439084
34,0.6240465,1.5150759550704391
35,0.6840038,1.729797645125081
36,0.59430224,1.4085545177037693
37,0.1720962,-0.10346811273618428
38,0.6875793,1.7426023812087656
39,0.60156703,1.4345714995673964
40,0.61065334,1.4671117880653837
41,0.67605615,1.7013351753347
42,0.62987894,1.5359633428270971
43,0.6263948,1.5234857891482791
44,0.34433872,0.5133742900016038
45,0.31065333,0.39273870649551323
46,0.39836848,0.7068680160440808
47,0.6483353,1.6020600618497491
48,0.6978333,1.7793244519127551
49,0.6459273,1.5934364275358028
50,0.61874163,1.4960779239396151
51,0.6063879,1.4518362088510655
52,0.69626653,1.7737134670564165
53,0.6029973,1.4396936446879138
54,0.66261876,1.6532126099302644
55,0.64833355,1.6020537946736493
56,0.6483353,1.6020600618497491
57,0.39930314,0.710215261080573
58,0.7142817,1.8382301772655438
59,0.63873434,1.5676766863917653
60,0.61593235,1.4860172082396632
61,0.5757955,1.342277375634299
62,0.66261876,1.6532126099302644
63,0.68625325,1.7378534732843436
64,0.66261876,1.6532126099302644
65,0.6645162,1.6600078045700712
66,0.71515226,1.8413478645945922
67,0.64536166,1.5914107329704619
68,0.6317407,1.5426307586993282
69,0.5688326,1.3173415353666176
70,0.5941578,1.4080372428946717
71,0.70414776,1.801938070654467
72,0.57036406,1.3228260665154696
73,0.6301455,1.5369179590906876
74,0.57924676,1.3546371780273017
75,0.61701214,1.4898841991432583
76,0.5642779,1.3010300456615793
77,0.5636935,1.298937166968443
78,0.5575553,1.2769547782035495
79,0.52474016,1.1594357718410269
80,0.6754178,1.699049088555502
81,0.5447998,1.2312742269196857
82,0.6576705,1.6354916860389324
83,0.7180547,1.8517422089376874
84,0.62469727,1.517406520893731
85,0.66261876,1.6532126099302644
86,0.6496256,1.6066809403195528
87,0.61372614,1.4781162330487287
88,0.63409656,1.5510676669779233
89,0.5812171,1.3616934453172274
90,0.7100202,1.822968708150559
91,0.6960962,1.773103473853471
92,0.72205883,1.8660819734167156
93,0.6886435,1.746413540526416
94,0.6623163,1.6521294270255327
95,0.6218006,1.5070328403255502
96,0.6100824,1.4650671129095683
97,0.68431455,1.7309105165383096
98,0.6687557,1.6751904863283666
99,0.5720251,1.328774655195219
100,0.62838614,1.5306172625514085
101,0.6483353,1.6020600618497491
102,0.70944595,1.8209121790788059
103,0.058842268,-0.5090580189590024
104,0.46988565,0.9629884152335881
105,0.6483353,1.6020600618497491
106,0.5661688,1.307801818968989
107,0.6173274,1.49101322196461
108,0.59133834,1.397940070136034
109,0.6247455,1.5175792442670542
110,0.43738255,0.8465869000883934
111,0.06086238,-0.5018235060182983
112,0.61227417,1.4729163749445675
113,0.59479296,1.4103119055071494
114,0.54630363,1.2366598083110247
115,0.43438828,0.8358636901559935
116,0.48972812,1.0340491316644238
117,0.6483353,1.6020600618497491
118,0.53342,1.1905203922993186
119,0.63696516,1.5613408220414549
120,0.6270446,1.5258128811653906
121,0.6688912,1.6756757448207011
122,0.59692764,1.4179567143515408
123,0.6540165,1.622405822341607
124,0.5734927,1.334030488135065
125,0.53407604,1.1928698312757806
126,0.5642779,1.3010300456615793
127,0.42432323,0.7998182954086568
128,0.5913979,1.3981533689980514
129,0.5760423,1.3431612265266093
130,0.6023538,1.4373891145047644
131,0.64104664,1.5759575957041152
132,0.52834725,1.1723536394064311
133,0.34637284,0.5206589690010563
134,0.641847,1.5788238797404563
135,0.70571285,1.8075430390217475
136,0.53648084,1.201482005610572
137,0.62027115,1.5015555074761044
138,0.6159905,1.4862254575483664
139,0.5961977,1.4153426214814742
140,0.6126134,1.474131240172274
141,0.6106168,1.4669809294284102
142,0.61267704,1.4743591505077145
143,0.5628449,1.295898123746345
144,0.6483353,1.6020600618497491
145,0.6313037,1.5410657552960094
146,0.6467073,1.5962297974547734
147,0.60579985,1.4497302586192058
148,0.6187361,1.4960581196631386
149,0.6409726,1.5756924404364225
150,0.6367046,1.560407693238779
151,0.3717248,0.6114505106047927
152,0.71319395,1.8343346796638018
153,0.6474296,1.5988165296246084
154,0.7133665,1.8349526232272861
155,0.45090088,0.894999331340574
156,0.6483353,1.6020600618497491
157,0.60514575,1.4473877672551065
158,0.7008496,1.7901265566391489
159,0.55552447,1.2696818814951643
160,0.69225276,1.7593391793901851
161,0.6210029,1.5041760823968815
162,0.6457642,1.5928523267232597
163,0.6483353,1.6020600618497491
164,0.7015705,1.7927082750681036
165,0.4039873,0.7269903785672902
166,0.6005488,1.4309249700127902
167,0.63505024,1.5544830272655155
168,0.61969537,1.4994934991018178
169,0.64866555,1.6032427675109542
170,0.45009607,0.8921171107707204
171,0.5381626,1.20750479765535
172,0.72285473,1.8689322851071095
173,0.70085466,1.7901446777311874
174,0.68300444,1.7262186936350528
175,0.46028084,0.9285912519881832
176,0.6422133,1.5801356892293263
177,0.5708105,1.3244248768572957
178,0.63326937,1.5481052981788554
179,0.7084432,1.8173210871733616
180,0.53234535,1.1866718089872403
181,0.7011555,1.7912220590214734
182,0.6906861,1.7537285884706302
183,0.669206,1.6768031202700486
184,0.6357565,1.5570123162898373
185,0.69784766,1.779375878569211
186,0.6483353,1.6020600618497491
187,0.6789272,1.7116171044447723
188,0.70016277,1.7876668511757563
189,0.66848934,1.6742365863134738
190,0.4664851,0.9508102176977529
191,0.57837063,1.3514995431720367
192,0.67672294,1.7037231126786345
193,0.64624226,1.5945643759841088
194,0.6381821,1.5656989804891346
195,0.719782,1.857928090810809
196,0.5937323,1.4065134237914396
197,0.5673531,1.3120430856292904
198,0.62388074,1.5144823281502235
199,0.6950263,1.7692719014479508
200,0.7277291,1.8863885909172717
201,0.72204435,1.8660301170110403
202,0.71464276,1.8395232210385482
203,0.60083526,1.4319508530217497
204,0.6250108,1.5185293481638524
205,0.6497755,1.6072177687180833
206,0.64789724,1.600491262328335
207,0.46899983,0.959816078128946
208,0.5800793,1.357618706479018
209,0.2118126,0.03876598604555159
210,0.6768355,1.7041262174454035
211,0.6215931,1.5062897323022355
212,0.63525873,1.555229680719882
213,0.5512783,1.2544753128428177
214,0.5725196,1.3305455800989767
215,0.59133834,1.397940070136034
216,0.7228077,1.8687638592259708
217,0.6466362,1.5959751710429284
218,0.6173165,1.4909741864106145
219,0.7208155,1.8616293059534437
220,0.61900353,1.4970158516085617
221,0.68099004,1.7190046367571403
222,0.66261876,1.6532126099302644
223,0.6406517,1.5745432194018107
224,0.6102266,1.465583528220228
225,0.47200727,0.970586453038055
226,0.6904329,1.7528218176200108
227,0.47694495,0.9882694873733069
228,0.64053184,1.574113971557595
229,0.6175639,1.4918601860490153
230,0.6031699,1.440311767313574
231,0.6483353,1.6020600618497491
232,0.6246503,1.5172383098872002
233,0.59133834,1.397940070136034
234,0.62526613,1.5194437470630966
235,0.6483353,1.6020600618497491
236,0.6758372,1.7005510620734716
237,0.52430606,1.1578811540438165
238,0.737063,1.9198155594899236
239,0.5642779,1.3010300456615793
240,0.4572996,0.9179147056584043
241,0.6450299,1.5902226196315938
242,0.62038803,1.5019740832147317
243,0.5651286,1.3040766094949987
244,0.6278302,1.5286263060478804
245,0.6026204,1.438343874018094
246,0.6074727,1.4557211417845242
247,0.6345565,1.5527148241068076
248,0.38984886,0.6763571824170942
249,0.4086472,0.74367861508704
250,0.5664007,1.3086323093333592
251,0.53554106,1.1981164246074325
252,0.6170036,1.4898536153238888
253,0.5642779,1.3010300456615793
254,0.582104,1.3648696501648345
255,0.2406902,0.14218370293276816
256,0.5642779,1.3010300456615793
