,loss,val_loss
0,1.780150159719746,1.8114740378054233
1,1.7584730081041402,1.789604422255232
2,1.7382459569403232,1.7680265834198736
3,1.7177609615242195,1.7470754408085896
4,1.6971475406014989,1.7269828420574382
5,1.6774196166397404,1.7074041349258609
6,1.6603591384001295,1.6883589095699874
7,1.641296704465824,1.669908771503347
8,1.6241742329203357,1.652476406847882
9,1.6072108572698023,1.6360311935369385
10,1.592665960959799,1.620120679495121
11,1.5770675924883226,1.6058968617321503
12,1.5646194014591122,1.5920647143163058
13,1.5494674594338071,1.5788482554599679
14,1.5385941113625878,1.5665224314313246
15,1.5282026561433317,1.5548812361664115
16,1.5165733484077049,1.5440475452898779
17,1.5071574804315848,1.5340288903464994
18,1.494681863181345,1.5242605714474695
19,1.4873747447025694,1.5150313769933963
20,1.4753452508405522,1.5066180714106157
21,1.470806704627143,1.4987266571700717
22,1.4628277399162433,1.4915636988586722
23,1.4538717053350159,1.4848866615687963
24,1.4495138592190213,1.4791350139544028
25,1.4436194857719484,1.4734022426836137
26,1.4399381004388931,1.4688013027135742
27,1.4334587872551674,1.4644503928269947
28,1.4268718684329578,1.4604262133776131
29,1.4246366768218228,1.4568682478934742
30,1.4181836105064303,1.4536931794723067
31,1.4199300466650657,1.4508604547302024
32,1.416341868632135,1.4484599338028101
33,1.4132558260041945,1.4460469758539454
34,1.4107252697564963,1.4440833907439115
35,1.4109377339865776,1.4421686066842252
36,1.409848754275325,1.4404018127312095
37,1.4061384569902042,1.4387667577434107
38,1.4038768841792264,1.4371386082351352
39,1.4031078852995071,1.435777874027557
40,1.402677344149833,1.4344384549027782
41,1.4016999488089108,1.433111830715983
42,1.3995735442100639,1.4317765997916676
43,1.3969226042646155,1.4305948229736625
44,1.3945612613627163,1.429365424786584
45,1.393298444118494,1.428188924927977
46,1.39496027553511,1.4269998627771188
47,1.396490173992373,1.4258736969483679
48,1.394610618628266,1.424803911052085
49,1.3910522030730195,1.4236332850652516
50,1.3883191442042093,1.4225573580143815
51,1.388338463688272,1.4214530118152535
