,loss,rmse,mse,mae,val_loss,val_rmse,val_mse,val_mae,_timestamp,_runtime
0,1.0840623378753662,1.0199750661849976,1.0403492450714111,0.7081502676010132,0.09233154356479645,0.22260425984859467,0.04955265671014786,0.160201758146286,1727259711,36
1,0.18621575832366943,0.37973445653915405,0.14419826865196228,0.2985633611679077,0.1031493991613388,0.24878348410129547,0.06189322471618652,0.19519279897212982,1727259711,36
2,0.1417711079120636,0.3179795742034912,0.10111100971698761,0.2477593719959259,0.08204779773950577,0.20488862693309784,0.0419793501496315,0.1458350419998169,1727259711,36
3,0.11384762078523636,0.2724705934524536,0.07424022257328033,0.2084093987941742,0.08390704542398453,0.21157149970531464,0.0447624996304512,0.15524841845035553,1727259711,36
4,0.1009993702173233,0.24946154654026031,0.06223106384277344,0.18962588906288147,0.07588069885969162,0.1936195194721222,0.03748851642012596,0.13371562957763672,1727259711,36
5,0.09140615165233612,0.23090021312236786,0.05331490933895111,0.17356668412685394,0.07137134671211243,0.18324914574623108,0.033580247312784195,0.12056112289428711,1727259712,37
6,0.08366291970014572,0.2147354930639267,0.0461113303899765,0.1622619330883026,0.0652439221739769,0.1671276092529297,0.027931636199355125,0.09919214248657227,1727259712,37
7,0.08110220730304718,0.20973317325115204,0.043988004326820374,0.15389645099639893,0.06772404909133911,0.1755369007587433,0.030813202261924744,0.11043800413608551,1727259712,37
8,0.07509465515613556,0.1958438754081726,0.03835482522845268,0.14308671653270721,0.06573744863271713,0.17079897224903107,0.029172290116548538,0.10465981066226959,1727259712,37
9,0.07223128527402878,0.18924295902252197,0.035812899470329285,0.13632997870445251,0.06464175879955292,0.1684451699256897,0.028373774141073227,0.10159428417682648,1727259712,37
10,0.06948953121900558,0.18261486291885376,0.03334818780422211,0.13023196160793304,0.06430832296609879,0.16821451485157013,0.028296124190092087,0.10115552693605423,1727259712,37
11,0.06896910816431046,0.181834414601326,0.03306375443935394,0.1293160766363144,0.06137453764677048,0.15993176400661469,0.025578171014785767,0.09161179512739182,1727259712,37
12,0.06507794559001923,0.1713913381099701,0.029374990612268448,0.1208646297454834,0.06148272752761841,0.16086779534816742,0.02587844617664814,0.09272897988557816,1727259712,37
13,0.06353759765625,0.16739162802696228,0.02801995538175106,0.11503565311431885,0.0585021898150444,0.1519075185060501,0.023075895383954048,0.08336152136325836,1727259712,37
14,0.06203598529100418,0.16337795555591583,0.026692358776926994,0.11253578960895538,0.058406297117471695,0.15215258300304413,0.023150408640503883,0.08356951922178268,1727259712,37
15,0.05941348150372505,0.15567801892757416,0.024235643446445465,0.10812526941299438,0.059020694345235825,0.15468217432498932,0.02392657659947872,0.08596856147050858,1727259712,37
16,0.0601508729159832,0.15853187441825867,0.025132354348897934,0.10802414268255234,0.057335492223501205,0.1496598720550537,0.022398076951503754,0.08142626285552979,1727259713,38
17,0.059097278863191605,0.15567131340503693,0.024233557283878326,0.10523781925439835,0.056640125811100006,0.14783430099487305,0.021854979917407036,0.08012911677360535,1727259713,38
18,0.05792076513171196,0.15233901143074036,0.023207176476716995,0.10300605744123459,0.05712037906050682,0.14994610846042633,0.022483836859464645,0.0816732719540596,1727259713,38
19,0.057392776012420654,0.15108244121074677,0.022825904190540314,0.10139444470405579,0.05642920359969139,0.14810936152935028,0.021936383098363876,0.08040913939476013,1727259713,38
