,smiles,AR,predicted
0,Br.CC(CC1=CC=C(O)C=C1)NCC(O)C1=CC(O)=CC(O)=C1,0.762925418075802,1.4866878
1,Br.CCCCCCCCN1CN(C)C=C1,5.043951855811,41.62358
2,Br.CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(O)C1=CC=CC=C1,42.453795930084,20.741285
3,Br.C[C@@H]1[C@@H]2CC3=C(C=C(O)C=C3)[C@@]1(C)CCN2CCC1=CC=CC=C1,18.3054353003215,43.4905
4,Br.C[C@H]1[C@H]2CC3=C(C=C(O)C=C3)[C@]1(C)CCN2CCC1=CC=CC=C1,71.7671882971623,43.4905
5,Br.NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,37.6329671438879,45.070625
6,BrC(Br)(Br)C=O,0.410650457149963,1.4358028
7,BrC(Br)Br,7.7360700083757,9.510491
8,BrC(Br)C#N,6.4947115073628,8.834287
9,BrC(Br)C(Br)(Br)Br,8.9398654427477,10.598797
10,BrC1=C(Br)C(Br)=C(Br)C(Br)=C1Br,4.8553547685131e-06,18.770853
11,BrC1=C(Br)C(Br)=C(Br)C(OC2=CC(Br)=C(Br)C(Br)=C2Br)=C1,44.2459564824397,36.010967
12,BrC1=C(Br)C=C(S1)C(=O)NC1=CC=C(Br)C=C1,0.12536164708302,0.7033205
13,BrC1=C(C=CC=C1)C1=CC=CC=C1,62.7856332658602,26.859726
14,BrC1=C2C(=O)OC(=O)C2=C(Br)C(Br)=C1Br,47.0735781387027,39.046223
15,BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12,0.670975786222259,0.24402872
16,BrC1=C2C=CC=CC2=CC2=CC=CC=C12,22.7784035414604,0.61982834
17,BrC1=CC(Br)=C(Br)C=C1,83.0772982760248,40.252365
18,BrC1=CC(Br)=C(OC2=C(Br)C=C(Br)C(Br)=C2)C=C1,27.4173630969905,33.502274
19,BrC1=CC(Br)=C(OC2=CC(Br)=C(Br)C=C2Br)C=C1Br,32.3241021996617,33.674988
20,BrC1=CC(Br)=C(OC2=CC=C(Br)C=C2Br)C=C1,12.6844869001576,37.226124
21,BrC1=CC(Br)=C(OCC=C)C(Br)=C1,3.46749636848034,10.499091
22,BrC1=CC(Br)=CC(Br)=C1,42.9591976052966,37.991524
23,BrC1=CC2=C(C=CC=C2)C2=C1C=CC=C2,25.830735574997,13.348788
24,BrC1=CC=C(Br)C=C1,59.2988967935077,33.16278
25,BrC1=CC=C(C=C1)C1=CC=CC=C1,85.9935660929885,3.658302
26,BrC1=CC=C(C=C1)C1C(=O)C2=CC=CC=C2C1=O,18.8805855614908,15.242265
27,BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1,4.42274245444403,4.4635663
