,metric,value,fold,target
0,MSE,0.9127374887466431,0,AR
1,MAE,0.7710210680961609,0,AR
2,MdAE,0.6998875141143799,0,AR
3,ACPER,0.00847457627118644,0,AR
4,MAPE,-0.27005621790885925,0,AR
5,RMSE,0.9553729295730591,0,AR
