,0
0,17.39646
1,0.0013008576
2,40.03718
3,192.90404
4,9.444165
5,18.426804
6,197.30443
7,194.09216
8,188.40994
9,68.08928
10,1.8159602
11,12.966384
12,183.9829
13,2.0720677
14,35.876865
15,1.7051789
16,199.3706
17,198.8497
18,160.04497
19,0.7336115
20,2.7984042
21,197.43488
22,22.872326
23,17.114727
24,197.64757
25,0.8323691
26,198.4374
27,93.09387
28,24.082848
29,14.617691
30,31.27587
31,15.950932
32,9.524601
33,4.5375013
34,1.6856494
35,3.1152158
36,30.095213
37,0.2633979
38,10.701601
39,4.8177114
40,0.11108562
41,8.875401
42,8.049791
43,3.6172135
44,28.179892
45,0.39664662
46,0.12497972
47,0.99590856
48,7.2817307
49,8.162858
50,0.0951588
51,3.4445348
52,5.8193555
53,2.656426
54,22.970255
55,1.8505042
56,1.7439934
57,24.10513
58,7.432027
59,5.629699
60,33.772247
61,10.86736
62,8.151721
63,10.257666
64,6.1777387
65,1.6302841
66,6.9721203
67,0.38594347
68,20.286219
69,23.43409
70,5.0315595
71,0.0071989205
72,16.058363
73,5.088013
74,45.099525
75,25.851385
76,0.2234242
77,7.877396
78,20.73423
79,0.7178392
80,1.0821307
81,16.530668
82,4.4388647
83,0.24187723
84,10.360418
85,2.7554348
86,44.078182
87,14.296871
88,47.659294
89,12.873133
90,2.5552726
91,0.034082964
92,8.725895
93,5.660922
94,4.187476
95,21.014296
96,4.699701
97,15.571656
98,21.090431
99,20.661537
100,9.181329
101,5.703002
102,13.611652
103,24.977081
104,5.142854
105,3.0330698
106,11.607103
107,15.229244
108,7.505713
109,5.518067
110,16.123264
111,4.6801867
112,17.827063
113,23.03121
114,0.0035939186
115,2.1375537
116,29.786669
117,5.562547
118,24.420795
119,1.6114227
120,21.948761
121,0.26577058
122,14.544328
123,18.10041
124,0.21621056
125,0.911338
126,6.0779815
127,4.926607
128,5.4280252
129,10.11979
130,17.264708
131,1.6379356
132,0.0024123099
133,17.112726
134,19.859236
135,31.105476
136,0.028277224
137,0.69485736
138,0.86401886
139,0.9339628
140,23.984325
141,5.983712
142,1.3801197
143,0.31681752
144,18.070269
145,5.9017715
146,20.30692
147,1.5761245
148,1.075684
149,7.3197
150,3.8347461
151,17.876411
152,0.6872221
153,0.21344234
154,0.29467526
155,0.93648595
156,5.0330305
157,1.2568922
158,0.031505134
159,0.501826
160,10.136028
161,0.19528079
162,18.697765
163,13.130011
164,1.0529696
165,3.768912
166,1.7364368
167,1.2739762
168,6.1945696
169,13.100856
170,2.118232
171,2.4051483
172,1.4575605
173,10.796029
174,0.6834779
175,0.0005429642
176,0.024803445
177,19.75749
178,6.6236362
179,0.0012203887
180,1.439884
181,7.263385
182,2.120302
183,0.5000488
184,0.15004271
185,0.63482565
186,1.4254832
187,32.54445
188,20.303902
189,2.8146067e-05
190,0.50491005
191,0.105297916
192,25.254839
193,3.5134346
194,0.81946814
195,1.0324074
196,5.3831186
197,0.0050057815
198,0.51310533
199,0.58474374
200,0.01311508
201,18.54377
202,9.913648
203,6.5189757
204,14.362428
205,0.010647803
206,18.340988
207,1.4766655
208,0.25460902
209,0.98858273
210,7.7541685
211,4.059109
212,0.11061742
213,0.35163862
214,0.003524627
215,2.2774613
216,0.0007905434
217,1.942283
218,4.7530823
219,0.17416722
220,0.46124908
221,18.481771
222,6.367386
223,0.0029692333
224,3.2747645
225,3.0225632
226,14.501966
227,1.3374697
228,0.6197337
229,3.9807966
230,0.021724045
231,3.4084804
232,0.73769295
233,1.2479249
234,13.973545
235,0.275167
236,0.5723052
237,1.6985741
238,22.061178
239,3.3873992
240,1.688203
241,3.6614697
242,0.14738476
243,1.2898687
244,16.367905
245,1.0813606
246,18.308329
247,0.16927208
248,0.009132563
249,3.3481586
250,1.3411211
251,2.0690615
252,0.16797605
253,217.78
254,14.809998
255,23.588913
256,3.0590305
257,98.287994
258,44.443954
259,0.044427294
260,1.1955546
261,0.005870181
262,0.22034511
263,57.574673
264,0.84459203
265,30.895002
266,0.9731686
267,1.516933
268,0.3293777
269,0.13506238
270,23.456686
271,0.6516149
272,91.797585
273,15.860514
274,18.265678
275,25.408804
276,0.09478472
277,0.018042032
278,0.15812552
279,0.091592796
280,0.15588106
281,0.62544674
282,1.2837051
283,0.48976755
284,0.2087091
285,6.4557486
286,0.14464334
287,94.57598
288,0.06751891
289,0.023974182
290,5.30002
291,4.688579
292,0.2925263
293,17.669157
294,0.2171294
295,17.923395
296,17.082209
297,39.958786
298,6.152495
299,36.846493
300,0.21708122
301,0.0023714867
302,0.08113868
303,0.14185357
304,32.794044
305,0.1643327
306,49.64891
307,0.0014953159
308,23.977823
309,5.890403
310,28.042187
311,15.421769
312,44.135
313,8.136369
314,60.10182
315,57.468296
316,65.71652
317,61.51273
318,89.46545
319,47.479305
320,33.176563
321,0.9380478
322,30.72725
323,12.8668585
324,55.679657
325,89.317154
326,64.09777
327,33.06423
328,65.88165
329,60.827442
330,56.026627
331,16.26996
332,15.1222105
333,0.4260995
334,86.44754
335,0.019660106
336,30.822973
337,33.30377
338,74.99974
339,73.039
340,32.86649
341,63.458626
342,9.299014
343,70.16214
344,57.624245
345,69.38214
346,18.781652
347,24.446468
348,3.623356
349,53.000927
350,67.01131
351,90.79832
352,85.93349
353,1.2412684
354,10.752891
355,57.12302
356,96.27955
357,24.040874
358,77.79428
359,14.357708
360,94.225006
361,0.00021042404
362,32.465664
