smiles,AR
C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1.85474977506765
OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,1.52724160635074
ClC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O,1.4380499897345
ClC1CC2C(C1Cl)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,1.79132196656777
CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,1.60205999132796
NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,1.46930767512634
OC1OC(=O)C(Cl)=C1C(Cl)Cl,1.59538055880911
[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O,1.39641522417982
NC1=C(N)C=C(Cl)C=C1,1.57123608596905
OS(O)(=O)=O.NC1=CC=C(N)C(Cl)=C1,1.70426686855882
Cl.CC1=C(N)C=CC(Cl)=C1,1.45657459515634
ClCC(=O)C1=CC=CC=C1,1.81787423302845
CC(=O)NC1=CC=C(C=C1)C(=O)CCl,1.40507147400516
CCOC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,1.64009611444993
ClC(Cl)Cl,1.87838920778376
CC(C)CC1=CC=C(CCC2=CC3=C(S2)N2C(C)=NN=C2C(C)N=C3C2=C(Cl)C=CC=C2)C=C1,1.45534656821092
ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,0.874476347015373
OC(=O)\C=C/C([O-])=O.C[NH+](C)CCC(C1=CC=C(Cl)C=C1)C1=NC=CC=C1,1.53504314453665
NC1=C(C=CC=C1)C(=O)OCC=CC1=CC=CC=C1,1.58894906487015
OC(=O)CC(O)(CC(O)=O)C(O)=O.CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1,1.50811750141874
CN[C@H]1CCC2=C(C(OC)=C(OC)C(OC)=C2)C2=CC=C(OC)C(=O)C=C12,-0.957393492152774
[Cu++].CN(C)C([S-])=S.CN(C)C([S-])=S,0.510529187152723
CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2,1.13866150839877
OC[C@H]1O[C@@H]2[C@@H](OC3=NC(=N)C=CN23)[C@@H]1O,1.81664219549948
[H][C@@]12O[C@H](CO)[C@@]([H])(O[C@@]3([H])O[C@H](CO)[C@@]([H])(O[C@@]4([H])O[C@H](CO)[C@@]([H])(O[C@@]5([H])O[C@H](CO)[C@@]([H])(O[C@@]6([H])O[C@H](CO)[C@@]([H])(O[C@@]7([H])O[C@H](CO)[C@@]([H])(O[C@@]8([H])O[C@H](CO)[C@@]([H])(O1)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O,1.71468516887091
ON=C1CCCC1,1.48317595554452
[H][C@@]1([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)[C@H](CC)NC1=O)C(C)C,0.931241850062341
