,loss,rmse,mse,mae,val_loss,val_rmse,val_mse,val_mae,_timestamp,_runtime
0,40.450904846191406,32.23808670043945,1039.294189453125,20.247150421142578,34.96468734741211,31.13578987121582,969.4373779296875,19.529754638671875,1723558056,14
1,32.07105255126953,30.812244415283203,949.3944091796875,19.402416229248047,28.65047836303711,30.61175537109375,937.0795288085938,19.362703323364258,1723558056,14
2,26.778156280517578,30.352619171142578,921.281494140625,19.232572555541992,24.755569458007812,30.227338790893555,913.6920166015625,19.260635375976562,1723558056,14
3,23.61919593811035,29.986787796020508,899.2074584960938,19.124969482421875,22.517467498779297,29.902080535888672,894.1343994140625,19.18647575378418,1723558056,14
4,21.812217712402344,29.69268798828125,881.6557006835938,19.047504425048828,21.242712020874023,29.654754638671875,879.4044189453125,19.14229393005371,1723558056,14
5,20.761999130249023,29.45831298828125,867.7921752929688,18.996337890625,20.47551727294922,29.42473602294922,865.8151245117188,19.109167098999023,1723558056,14
6,20.1147518157959,29.19813346862793,852.5309448242188,18.954946517944336,19.985998153686523,29.17983627319336,851.4628295898438,19.080982208251953,1723558056,14
7,19.69300651550293,29.00691795349121,841.4013061523438,18.925357818603516,19.670591354370117,29.027313232421875,842.5849609375,19.067285537719727,1723558056,14
8,19.426414489746094,28.85970687866211,832.8826904296875,18.909072875976562,19.472715377807617,28.90298080444336,835.38232421875,19.0582218170166,1723558056,14
9,19.263954162597656,28.714862823486328,824.5433959960938,18.899749755859375,19.350555419921875,28.832183837890625,831.2948608398438,19.055450439453125,1723558056,14
10,19.15768051147461,28.770429611206055,827.7376708984375,18.90175437927246,19.270645141601562,28.89263153076172,834.7841186523438,19.05771255493164,1723558056,14
11,19.091001510620117,28.66752052307129,821.8267822265625,18.89398765563965,19.22760009765625,28.70365333557129,823.8997192382812,19.053455352783203,1723558057,15
12,19.04900360107422,28.637319564819336,820.0960693359375,18.893524169921875,19.188880920410156,28.783838272094727,828.5093383789062,19.05384635925293,1723558057,15
13,19.01978302001953,28.531871795654297,814.0677490234375,18.887178421020508,19.17547607421875,28.606128692626953,818.3106079101562,19.05451774597168,1723558057,15
14,19.012027740478516,28.617599487304688,818.967041015625,18.900638580322266,19.182621002197266,28.610754013061523,818.5752563476562,19.056640625,1723558057,15
15,19.01051902770996,28.46143913269043,810.0535278320312,18.8847713470459,19.168142318725586,28.605329513549805,818.264892578125,19.057289123535156,1723558057,15
16,18.9879207611084,28.556869506835938,815.4948120117188,18.891054153442383,19.13459587097168,28.806577682495117,829.8189697265625,19.054899215698242,1723558057,15
17,18.975114822387695,28.602813720703125,818.1209716796875,18.892240524291992,19.13278579711914,28.714616775512695,824.5292358398438,19.050804138183594,1723558057,15
18,18.967981338500977,28.60059356689453,817.9939575195312,18.888988494873047,19.138097763061523,28.534732818603516,814.2310180664062,19.054044723510742,1723558057,15
19,18.966108322143555,28.397794723510742,806.4346923828125,18.882997512817383,19.12946128845215,28.67549705505371,822.2841796875,19.05381965637207,1723558057,15
20,18.984390258789062,28.821672439575195,830.6887817382812,18.910341262817383,19.177324295043945,28.386550903320312,805.7962646484375,19.07090950012207,1723558057,15
21,19.010719299316406,28.101991653442383,789.721923828125,18.892650604248047,19.165868759155273,28.42047119140625,807.7232055664062,19.066184997558594,1723558057,15
22,18.97759437561035,28.675342559814453,822.2752685546875,18.899333953857422,19.11886978149414,28.77472686767578,827.98486328125,19.048198699951172,1723558057,15
23,18.951648712158203,28.560489654541016,815.7015991210938,18.881404876708984,19.135915756225586,28.45221519470215,809.5285034179688,19.06282615661621,1723558057,15
24,18.9473934173584,28.300460815429688,800.9160766601562,18.874372482299805,19.098718643188477,28.785625457763672,828.6122436523438,19.03077507019043,1723558058,16
25,18.985197067260742,28.499099731445312,812.19873046875,18.896930694580078,19.217266082763672,28.18436622619629,794.3585205078125,19.08994483947754,1723558058,16
26,19.012908935546875,28.422441482543945,807.835205078125,18.901721954345703,19.12898063659668,28.751094818115234,826.62548828125,19.040666580200195,1723558058,16
27,18.95953369140625,28.436662673950195,808.6437377929688,18.874914169311523,19.13224983215332,28.350954055786133,803.7765502929688,19.051759719848633,1723558058,16
28,18.955219268798828,28.594606399536133,817.6514892578125,18.876920700073242,19.17496681213379,28.18745231628418,794.532470703125,19.075376510620117,1723558058,16
29,18.971630096435547,28.13506317138672,791.5817260742188,18.874794006347656,19.085004806518555,28.649057388305664,820.7684936523438,19.00514030456543,1723558058,16
30,18.953739166259766,28.64350700378418,820.4505004882812,18.874908447265625,19.141218185424805,28.263565063476562,798.8291015625,19.043800354003906,1723558058,16
31,18.97278594970703,28.453187942504883,809.5839233398438,18.87183380126953,19.213735580444336,28.104660034179688,789.8719482421875,19.088024139404297,1723558058,16
32,18.98859405517578,28.201900482177734,795.34716796875,18.867420196533203,19.113698959350586,29.09870147705078,846.7344360351562,19.013147354125977,1723558058,16
33,18.991037368774414,28.705379486083984,823.9988403320312,18.889205932617188,19.17998504638672,28.241024017333984,797.555419921875,19.0654354095459,1723558058,16
34,18.98775291442871,28.43739891052246,808.6856689453125,18.87398338317871,19.16179084777832,28.423940658569336,807.92041015625,19.038116455078125,1723558058,16
35,19.018291473388672,28.434572219848633,808.52490234375,18.883668899536133,19.2080020904541,28.414669036865234,807.3933715820312,19.053184509277344,1723558058,16
36,19.086429595947266,28.15586280822754,792.7525634765625,18.88526725769043,19.28324317932129,28.73967170715332,825.9686889648438,19.05039405822754,1723558058,16
37,19.104354858398438,28.608402252197266,818.440673828125,18.885713577270508,19.264575958251953,28.235246658325195,797.2291259765625,19.073965072631836,1723558058,16
38,19.04375457763672,28.30530548095703,801.1903686523438,18.887475967407227,19.156713485717773,28.677160263061523,822.3795166015625,19.041576385498047,1723558058,16
39,18.990997314453125,28.432405471801758,808.4017333984375,18.881061553955078,19.133930206298828,28.55913543701172,815.6242065429688,19.02867317199707,1723558058,16
40,19.009218215942383,28.300031661987305,800.891845703125,18.89491844177246,19.2258358001709,28.09954071044922,789.5841674804688,19.099218368530273,1723558058,16
41,18.975200653076172,28.351058959960938,803.7825927734375,18.862546920776367,19.114521026611328,29.033796310424805,842.9613647460938,19.019886016845703,1723558058,16
42,18.9920711517334,28.299152374267578,800.842041015625,18.888080596923828,19.126461029052734,28.91681671142578,836.1823120117188,19.025651931762695,1723558058,16
43,18.991565704345703,28.617727279663086,818.9743041992188,18.8836727142334,19.154081344604492,28.514217376708984,813.060546875,19.036161422729492,1723558058,16
44,19.010089874267578,28.350889205932617,803.77294921875,18.88786506652832,19.166250228881836,28.55131721496582,815.1776733398438,19.044742584228516,1723558058,16
45,18.997020721435547,28.48227882385254,811.2401733398438,18.87990379333496,19.146207809448242,28.449201583862305,809.3570556640625,19.03948402404785,1723558058,16
