,0
0,17.39646
1,0.25577816
2,40.03718
3,9.444165
4,18.426804
5,197.30443
6,194.09216
7,188.40994
8,68.08928
9,12.966384
10,175.07478
11,183.9829
12,2.0720677
13,1.7051789
14,193.27193
15,199.54022
16,53.920296
17,198.8497
18,160.04497
19,0.7336115
20,2.7984042
21,197.43488
22,22.872326
23,17.114727
24,197.64757
25,0.8323691
26,198.4374
27,93.09387
28,24.082848
29,4.9448357
30,11.923701
31,4.5375013
32,1.6856494
33,3.1152158
34,30.095213
35,0.2633979
36,10.701601
37,0.11108562
38,8.875401
39,0.051764585
40,3.6172135
41,28.179892
42,0.032135278
43,0.39664662
44,0.12497972
45,0.99590856
46,1.821035
47,7.2817307
48,8.162858
49,0.0951588
50,3.4445348
51,5.8193555
52,2.656426
53,1.8505042
54,1.7439934
55,24.10513
56,7.432027
57,5.629699
58,33.772247
59,23.074368
60,10.653821
61,10.86736
62,8.151721
63,6.1777387
64,1.6302841
65,6.9721203
66,0.38594347
67,20.286219
68,23.43409
69,5.0315595
70,6.3254128
71,16.376726
72,16.936249
73,0.0071989205
74,16.058363
75,5.088013
76,0.2234242
77,7.877396
78,20.73423
79,0.7178392
80,16.530668
81,4.4388647
82,10.360418
83,2.7554348
84,44.078182
85,14.296871
86,12.873133
87,1.7932608
88,2.5552726
89,0.034082964
90,8.725895
91,5.660922
92,4.187476
93,21.014296
94,4.699701
95,9.144808
96,10.316106
97,20.661537
98,9.181329
99,13.611652
100,24.977081
101,3.0330698
102,11.607103
103,15.229244
104,7.505713
105,1.7598325
106,16.123264
107,17.827063
108,23.03121
109,2.1375537
110,29.786669
111,5.562547
112,24.420795
113,1.6114227
114,21.948761
115,8.637275
116,0.26577058
117,1.3900827
118,18.10041
119,10.013976
120,0.911338
121,6.0779815
122,4.926607
123,5.4280252
124,0.085036
125,10.11979
126,0.0024123099
127,17.112726
128,19.859236
129,0.23689012
130,31.88439
131,0.69485736
132,0.86401886
133,0.9339628
134,23.984325
135,5.983712
136,1.3801197
137,0.31681752
138,4.286577
139,18.070269
140,5.9017715
141,1.5761245
142,1.075684
143,7.3197
144,3.8347461
145,17.876411
146,0.6872221
147,0.21344234
148,0.93648595
149,5.0330305
150,1.2568922
151,0.031505134
152,2.1523361
153,10.136028
154,0.19528079
155,1.0529696
156,3.768912
157,1.7364368
158,1.2739762
159,6.1945696
160,13.100856
161,2.4051483
162,1.4575605
163,0.024803445
164,19.75749
165,6.6236362
166,11.733859
167,1.439884
168,7.263385
169,2.120302
170,0.5000488
171,0.15004271
172,2.173268
173,0.63482565
174,1.4254832
175,20.303902
176,2.8146067e-05
177,0.50491005
178,0.105297916
179,25.254839
180,3.5134346
181,0.81946814
182,1.0324074
183,0.0050057815
184,0.51310533
185,0.58474374
186,0.01311508
187,18.54377
188,9.913648
189,6.5189757
190,14.362428
191,18.340988
192,1.4766655
193,0.25460902
194,0.98858273
195,7.7541685
196,4.059109
197,0.35163862
198,0.003524627
199,2.2774613
200,1.942283
201,4.7530823
202,0.17416722
203,0.46124908
204,18.481771
205,6.367386
206,0.0029692333
207,3.0225632
208,14.501966
209,1.3374697
210,0.6197337
