,loss,val_loss
0,3.4393363072890644,3.415956406443229
1,3.4082369305366695,3.3850680716101254
2,3.3803847224213355,3.355345855786783
3,3.349828975145207,3.3267742621119316
4,3.319615927777549,3.2985739837258548
5,3.2921657377435256,3.270759738386399
6,3.2647919867389885,3.243890151908265
7,3.2373921372169674,3.217278972838173
8,3.212919919065727,3.190301124004706
9,3.1844718289929768,3.1635419845581056
10,3.159225160761397,3.137160971782398
11,3.1309718900872756,3.1102128249392385
12,3.1023633147394936,3.0837014949927894
13,3.0754943818084954,3.056876744138704
14,3.0489024044007293,3.0295107926929834
15,3.0225709685983584,3.0022809264157644
16,2.9938724521518676,2.9746450767101447
17,2.9665514535682145,2.9470984546670613
18,2.939704262933066,2.9196086569502047
19,2.907752556394237,2.8917346775387447
20,2.8810339981271316,2.86367831553443
21,2.8500729586726936,2.835795358306848
22,2.821951984435089,2.8079154750048105
23,2.7973204324411793,2.7795208388321626
24,2.7684310979621354,2.7510262776806624
25,2.737842164298361,2.7224879428780397
26,2.709096960319105,2.6941257278220707
27,2.679996643879617,2.665732693152624
28,2.651832054751788,2.63757728756773
29,2.6219365227130034,2.609262262071882
30,2.59624337410742,2.580746500255409
31,2.5631570705147677,2.552867349065822
32,2.5399516220240628,2.5247687502577
33,2.509199761605078,2.496645797309229
34,2.477568277092867,2.4682450292762774
35,2.4512051168338274,2.4401047379283582
36,2.4213564617689265,2.4113499737247714
37,2.39460658842279,2.383043923735907
38,2.36303718884786,2.3550515923026687
39,2.3350192484005476,2.3280854055436992
40,2.3086192829664363,2.3007184682111763
41,2.279069466184276,2.2730884833716885
42,2.2524674068125643,2.2456266040663455
43,2.2267321320467217,2.2185840938050867
44,2.1963788002960443,2.1915738109237632
45,2.1712514670320258,2.1641771650198875
46,2.140681969102963,2.137554599817382
47,2.1145104326943094,2.1115534341941444
48,2.0877091829166856,2.084528315269341
49,2.061685482660929,2.059048408977056
50,2.0381196441576463,2.0334743507837847
51,2.010637865510098,2.008679911992163
52,1.9873638282450594,1.9843503367814255
53,1.960329806157785,1.9613380849505742
54,1.9410856712696165,1.938603454409731
55,1.9126566214154856,1.9156406568845883
56,1.892573122830354,1.8947690746108787
57,1.8686298834261044,1.8749352858083876
58,1.8538084547649059,1.8562696082828698
59,1.8343191553455915,1.8375345376155567
60,1.8171750408734462,1.8202457417587392
61,1.7973049204478893,1.8040952453890378
62,1.783019877219385,1.7890836602550442
63,1.768585625544999,1.7750919199451696
64,1.7483613139899201,1.7619753561643365
65,1.738972969757494,1.7501738928132138
66,1.7271473527878753,1.7389601237548755
67,1.7145481728768164,1.7282775855814863
68,1.7000562682632328,1.7185152976911235
69,1.6924400052358939,1.7093092710573505
70,1.68329362351765,1.701248306569984
71,1.6751088837320491,1.6930454757542646
72,1.6725019188814385,1.685993409214528
73,1.6601357681806697,1.6790131704859237
74,1.6638047676677852,1.6729295661893941
75,1.6485909084941066,1.6679974963532234
76,1.6399726562721784,1.6633384726526663
77,1.6377128150111946,1.6591310557672534
78,1.63551220320916,1.655031499331569
79,1.6304676181586213,1.651054975715157
80,1.627662973810536,1.6477958376702038
81,1.6225869821947674,1.6448040100910473
82,1.6194064265997834,1.641953604446485
83,1.6134920378988102,1.639307031100368
84,1.6099001668220343,1.6368160619574077
85,1.6140968762626944,1.6347899147153766
86,1.607908893001172,1.6328549342351732
87,1.6084435522094254,1.6310284202381715
88,1.609878047492153,1.629209778441644
89,1.601615121198255,1.62750156179756
90,1.598509620326434,1.6259191095107404
91,1.6012840428093607,1.6243057013712552
92,1.6014712115590886,1.6227468681104535
93,1.5967043633608855,1.6212306175047202
94,1.5933734890102416,1.61996470767707
95,1.5932528140933016,1.6186968783778082
96,1.5915589850078258,1.6173622526210387
97,1.586597475894662,1.6161147059886276
98,1.590407925982808,1.6148516974783982
99,1.5868756142697593,1.6135587396690978
100,1.5810875375141469,1.6123921733791546
