,metric,value,fold,target
0,MSE,0.9705461263656616,1,AR
1,MAE,0.7692098021507263,1,AR
2,MdAE,0.67737877368927,1,AR
3,ACPER,0.0036319612590799033,1,AR
4,MAPE,-0.1946074515581131,1,AR
5,RMSE,0.9851629734039307,1,AR
6,MSE,0.9350320100784302,2,AR
7,MAE,0.7860985398292542,2,AR
8,MdAE,0.717758297920227,2,AR
9,ACPER,0.0012106537530266344,2,AR
10,MAPE,-0.040048591792583466,2,AR
11,RMSE,0.9669705033302307,2,AR
12,MSE,0.8791359066963196,3,AR
13,MAE,0.7751573920249939,3,AR
14,MdAE,0.6855325698852539,3,AR
15,ACPER,0.0,3,AR
16,MAPE,-0.09302035719156265,3,AR
17,RMSE,0.9376224875450134,3,AR
18,MSE,0.8249470591545105,4,AR
19,MAE,0.747959554195404,4,AR
20,MdAE,0.6841732263565063,4,AR
21,ACPER,0.002421307506053269,4,AR
22,MAPE,0.14698545634746552,4,AR
23,RMSE,0.9082659482955933,4,AR
24,MSE,0.8860251903533936,5,AR
25,MAE,0.7701695561408997,5,AR
26,MdAE,0.7066396474838257,5,AR
27,ACPER,0.0048484848484848485,5,AR
28,MAPE,0.05366630479693413,5,AR
29,RMSE,0.9412891268730164,5,AR
